Start,PAC,SWA,SEA,SEE,IND,CHN,LEV,EAF,IRN,SWE,JSK,NAF,CEA,WAF,EAS,EAE,RUS,SAF,GLF,CAS,CEE,NOE,BRI,USA,CAN,ANZ
PAC,40,18.5026492409433,16.6464644713242,9.4571349716316,4.13623468064604,3.22884985723649,8.71281521011496,8.25209605843388,6.5832939591897,11.1604662199272,4.52347050386403,11.8850938475726,13.4764918967753,11.7516071795617,1.68182902519447,10.2935473894971,8.09231708124785,9.42633881939716,7.01802587348772,7.2669030254493,11.0132385028606,9.64813960765762,11.2514274216539,15.346007300641,14.6433231351844,5.10279774304252
SWA,18.5026492409433,40,3.66671820375786,12.0626562100391,17.0207394804586,17.3073687163548,12.7727143870781,12.5184940810994,14.8753867323233,10.3650637172222,15.6343069298602,9.637649873922,6.61336065319221,9.42258341918098,19.7502084045837,11.2282321238362,13.2156263855227,10.8927067877473,14.4197011043351,14.2649724711632,10.5104935706887,11.7537341878549,10.271905258754,5.09784234556735,6.55419230398334,13.4234379182221
SEA,16.6464644713242,3.66671820375786,40,9.97885300529557,13.4386587034912,18.260905140509,10.2965885432496,8.8637919787336,12.0232565880426,9.31920373268892,18.5870486248117,7.90844497813278,9.92102031016229,6.23759710098313,16.0848579502068,10.1274449209226,13.2894564927947,7.30312330567996,11.5296458055723,12.1053334162729,9.47740187688038,11.5776774126563,9.27976383839581,8.01740914694417,7.8986867197688,14.6109003181063
SEE,9.4571349716316,12.0626562100391,9.97885300529557,40,5.83546799868417,8.29732768090637,1.00484720904822,5.54574337179481,3.01387199513676,2.35533150491832,9.3056393069335,2.4284815542403,11.3249710280108,4.29448169860716,7.77553045678549,1.93691101340265,4.42437614203907,7.6136180441828,2.70770246012511,2.24024254152531,2.29761828504285,3.55921714048066,2.475030288752,10.4164100141649,7.30145860418174,14.5595409480973
IND,4.13623468064604,17.0207394804586,13.4386587034912,5.83546799868417,40,5.24037731049168,4.91506510599904,4.59982836032356,2.82977107893617,8.02608742790951,7.0020632023001,8.16265435952632,15.1567216383918,7.64333933851004,2.734091803276,7.29227936944463,6.81242945184523,6.55605845098303,3.14372825377818,4.04654936513411,7.91819867733605,7.64536703794185,8.14138686290788,15.6022645980544,12.8301739345626,8.9647296818611
CHN,3.22884985723649,17.3073687163548,18.260905140509,8.29732768090637,5.24037731049168,40,7.96463849169189,9.82305092146997,6.28607373420946,9.14359295283643,1.7650843145103,10.4428408288796,10.6940704235137,12.0601837332174,2.93791038467325,8.30031600890163,5.35226668301257,11.7272541175427,6.77771270080558,6.15589617419222,8.98405791373692,7.05564848500122,9.19749467355484,12.2874948599143,11.5088054672836,6.84971097524568
LEV,8.71281521011496,12.7727143870781,10.2965885432496,1.00484720904822,4.91506510599904,7.96463849169189,40,4.71289560520286,2.14549959846049,3.35980899496958,9.18683632974714,3.25408844420939,12.2806824053542,4.23838218883471,7.04479280095277,2.8881630631293,4.85558130336472,6.91554435824057,1.77179234361624,1.823367995266,3.2990813926334,4.30767427722839,3.47957399381856,11.4212063788963,8.3055731203988,13.7906921842188
EAF,8.25209605843388,12.5184940810994,8.8637919787336,5.54574337179481,4.59982836032356,9.82305092146997,4.71289560520286,40,4.47350424124056,7.65205605774732,11.5709047599393,6.58287170913619,16.581940744976,3.94614463099107,7.23179224128952,7.46412411678479,9.32096791860017,2.39897254140946,4.1614548824342,5.69025149382009,7.6560641351107,9.01995868783104,7.75820190567923,14.8985357015197,12.0305418115558,11.7037462276901
IRN,6.5832939591897,14.8753867323233,12.0232565880426,3.01387199513676,2.82977107893617,6.28607373420946,2.14549959846049,4.47350424124056,40,5.2128657816214,7.78460920991472,5.39108116303712,13.414171052524,5.78566217253692,4.93012896366469,4.52215121226415,5.00084966309459,6.87140938349208,0.493740680344488,1.45660131707675,5.11256294169439,5.25351377802492,5.3298791250554,13.0980830506598,10.1044088119319,11.6461201447739
SWE,11.1604662199272,10.3650637172222,9.31920373268892,2.35533150491832,8.02608742790951,9.14359295283643,3.35980899496958,7.65205605774732,5.2128657816214,40,9.57397756276316,1.69923668549522,9.05588544803496,5.18683618635028,9.52582741708627,0.874450712898194,4.04619850476928,9.39911622623646,4.98946211947421,4.05029066783564,0.159535092106556,2.44614930365945,0.119942257863858,8.06166806543279,4.95376669206996,15.9829298160294
